,Country code,Country,Reference sector,Employment type,Education level,Year,Value
50,AUS,Australia,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2014,20844.0
51,AUS,Australia,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2015,175.0
52,AUS,Australia,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2016,152.0
53,AUS,Australia,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2017,140.0
56,AUS,Australia,Independent private educational institutions,Part-time,Short-cycle tertiary education,2013,5688.0
57,AUS,Australia,Independent private educational institutions,Part-time,Short-cycle tertiary education,2014,5658.0
58,AUS,Australia,Independent private educational institutions,Part-time,Short-cycle tertiary education,2015,159659.0
59,AUS,Australia,Independent private educational institutions,Part-time,Short-cycle tertiary education,2016,154621.0
60,AUS,Australia,Independent private educational institutions,Part-time,Short-cycle tertiary education,2017,99813.0
77,AUS,Australia,Public educational institutions,Full-time,Bachelor’s or equivalent level,2013,644736.0
78,AUS,Australia,Public educational institutions,Full-time,Bachelor’s or equivalent level,2014,659050.0
79,AUS,Australia,Public educational institutions,Full-time,Bachelor’s or equivalent level,2015,655031.0
80,AUS,Australia,Public educational institutions,Full-time,Bachelor’s or equivalent level,2016,669305.0
81,AUS,Australia,Public educational institutions,Full-time,Bachelor’s or equivalent level,2017,671546.0
82,AUS,Australia,Public educational institutions,Full-time,Bachelor’s or equivalent level,2018,685619.0
83,AUS,Australia,Public educational institutions,Full-time,Bachelor’s or equivalent level,2019,694122.0
84,AUS,Australia,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,12.0
85,AUS,Australia,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,4.0
86,AUS,Australia,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,11525.0
87,AUS,Australia,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,11378.0
88,AUS,Australia,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,10575.0
91,AUS,Australia,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,32088.0
92,AUS,Australia,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,32538.0
93,AUS,Australia,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,36963.0
94,AUS,Australia,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,41893.0
95,AUS,Australia,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,40616.0
98,AUS,Australia,Public educational institutions,Part-time,Bachelor’s or equivalent level,2013,211656.0
99,AUS,Australia,Public educational institutions,Part-time,Bachelor’s or equivalent level,2014,223169.0
100,AUS,Australia,Public educational institutions,Part-time,Bachelor’s or equivalent level,2015,224455.0
101,AUS,Australia,Public educational institutions,Part-time,Bachelor’s or equivalent level,2016,228657.0
102,AUS,Australia,Public educational institutions,Part-time,Bachelor’s or equivalent level,2017,233207.0
103,AUS,Australia,Public educational institutions,Part-time,Bachelor’s or equivalent level,2018,237310.0
104,AUS,Australia,Public educational institutions,Part-time,Bachelor’s or equivalent level,2019,241478.0
105,AUS,Australia,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,44.0
106,AUS,Australia,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,78.0
107,AUS,Australia,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,3325.0
108,AUS,Australia,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,3270.0
109,AUS,Australia,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,3272.0
112,AUS,Australia,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,17377.0
113,AUS,Australia,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,15836.0
114,AUS,Australia,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,21279.0
115,AUS,Australia,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,23460.0
116,AUS,Australia,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,22628.0
133,AUS,Australia,Public educational institutions,Full-time,Master’s or equivalent level,2013,105921.0
134,AUS,Australia,Public educational institutions,Full-time,Master’s or equivalent level,2014,124441.0
135,AUS,Australia,Public educational institutions,Full-time,Master’s or equivalent level,2015,138457.0
136,AUS,Australia,Public educational institutions,Full-time,Master’s or equivalent level,2016,153880.0
137,AUS,Australia,Public educational institutions,Full-time,Master’s or equivalent level,2017,158331.0
138,AUS,Australia,Public educational institutions,Full-time,Master’s or equivalent level,2018,186243.0
139,AUS,Australia,Public educational institutions,Full-time,Master’s or equivalent level,2019,201839.0
142,AUS,Australia,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2015,313.0
143,AUS,Australia,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2016,423.0
144,AUS,Australia,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2017,1234.0
147,AUS,Australia,Independent private educational institutions,Full-time,Master’s or equivalent level,2013,4799.0
148,AUS,Australia,Independent private educational institutions,Full-time,Master’s or equivalent level,2014,8229.0
149,AUS,Australia,Independent private educational institutions,Full-time,Master’s or equivalent level,2015,10827.0
150,AUS,Australia,Independent private educational institutions,Full-time,Master’s or equivalent level,2016,14200.0
151,AUS,Australia,Independent private educational institutions,Full-time,Master’s or equivalent level,2017,15300.0
154,AUS,Australia,Public educational institutions,Part-time,Master’s or equivalent level,2013,88946.0
155,AUS,Australia,Public educational institutions,Part-time,Master’s or equivalent level,2014,94231.0
156,AUS,Australia,Public educational institutions,Part-time,Master’s or equivalent level,2015,91410.0
157,AUS,Australia,Public educational institutions,Part-time,Master’s or equivalent level,2016,88347.0
158,AUS,Australia,Public educational institutions,Part-time,Master’s or equivalent level,2017,84845.0
159,AUS,Australia,Public educational institutions,Part-time,Master’s or equivalent level,2018,86995.0
160,AUS,Australia,Public educational institutions,Part-time,Master’s or equivalent level,2019,90050.0
163,AUS,Australia,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2015,1017.0
164,AUS,Australia,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2016,1008.0
165,AUS,Australia,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2017,1048.0
168,AUS,Australia,Independent private educational institutions,Part-time,Master’s or equivalent level,2013,5073.0
169,AUS,Australia,Independent private educational institutions,Part-time,Master’s or equivalent level,2014,6367.0
170,AUS,Australia,Independent private educational institutions,Part-time,Master’s or equivalent level,2015,6776.0
171,AUS,Australia,Independent private educational institutions,Part-time,Master’s or equivalent level,2016,7118.0
172,AUS,Australia,Independent private educational institutions,Part-time,Master’s or equivalent level,2017,8283.0
196,AUS,Australia,Public educational institutions,Full-time,Doctoral or equivalent level,2013,36295.0
197,AUS,Australia,Public educational institutions,Full-time,Doctoral or equivalent level,2014,40137.0
198,AUS,Australia,Public educational institutions,Full-time,Doctoral or equivalent level,2015,40887.0
199,AUS,Australia,Public educational institutions,Full-time,Doctoral or equivalent level,2016,40789.0
200,AUS,Australia,Public educational institutions,Full-time,Doctoral or equivalent level,2017,39171.0
201,AUS,Australia,Public educational institutions,Full-time,Doctoral or equivalent level,2018,39738.0
202,AUS,Australia,Public educational institutions,Full-time,Doctoral or equivalent level,2019,39707.0
205,AUS,Australia,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2015,76.0
206,AUS,Australia,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2016,80.0
207,AUS,Australia,Government dependent private educational institutions,Full-time,Doctoral or equivalent level,2017,78.0
210,AUS,Australia,Independent private educational institutions,Full-time,Doctoral or equivalent level,2013,223.0
211,AUS,Australia,Independent private educational institutions,Full-time,Doctoral or equivalent level,2014,198.0
212,AUS,Australia,Independent private educational institutions,Full-time,Doctoral or equivalent level,2015,207.0
213,AUS,Australia,Independent private educational institutions,Full-time,Doctoral or equivalent level,2016,193.0
214,AUS,Australia,Independent private educational institutions,Full-time,Doctoral or equivalent level,2017,242.0
217,AUS,Australia,Public educational institutions,Part-time,Doctoral or equivalent level,2013,18371.0
218,AUS,Australia,Public educational institutions,Part-time,Doctoral or equivalent level,2014,15815.0
219,AUS,Australia,Public educational institutions,Part-time,Doctoral or equivalent level,2015,15936.0
220,AUS,Australia,Public educational institutions,Part-time,Doctoral or equivalent level,2016,16520.0
221,AUS,Australia,Public educational institutions,Part-time,Doctoral or equivalent level,2017,15734.0
222,AUS,Australia,Public educational institutions,Part-time,Doctoral or equivalent level,2018,15543.0
223,AUS,Australia,Public educational institutions,Part-time,Doctoral or equivalent level,2019,15506.0
226,AUS,Australia,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2015,139.0
227,AUS,Australia,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2016,180.0
228,AUS,Australia,Government dependent private educational institutions,Part-time,Doctoral or equivalent level,2017,195.0
231,AUS,Australia,Independent private educational institutions,Part-time,Doctoral or equivalent level,2013,197.0
232,AUS,Australia,Independent private educational institutions,Part-time,Doctoral or equivalent level,2014,210.0
233,AUS,Australia,Independent private educational institutions,Part-time,Doctoral or equivalent level,2015,247.0
234,AUS,Australia,Independent private educational institutions,Part-time,Doctoral or equivalent level,2016,265.0
235,AUS,Australia,Independent private educational institutions,Part-time,Doctoral or equivalent level,2017,249.0
252,AUT,Austria,Public educational institutions,Full-time,Short-cycle tertiary education,2013,63353.066
253,AUT,Austria,Public educational institutions,Full-time,Short-cycle tertiary education,2014,64080.473
254,AUT,Austria,Public educational institutions,Full-time,Short-cycle tertiary education,2015,64024.26
255,AUT,Austria,Public educational institutions,Full-time,Short-cycle tertiary education,2016,63780.071
256,AUT,Austria,Public educational institutions,Full-time,Short-cycle tertiary education,2017,62274.449
257,AUT,Austria,Public educational institutions,Full-time,Short-cycle tertiary education,2018,61106.219
258,AUT,Austria,Public educational institutions,Full-time,Short-cycle tertiary education,2019,59321.182
273,AUT,Austria,Public educational institutions,Part-time,Short-cycle tertiary education,2013,0.0
274,AUT,Austria,Public educational institutions,Part-time,Short-cycle tertiary education,2014,0.0
275,AUT,Austria,Public educational institutions,Part-time,Short-cycle tertiary education,2015,0.0
276,AUT,Austria,Public educational institutions,Part-time,Short-cycle tertiary education,2016,0.0
277,AUT,Austria,Public educational institutions,Part-time,Short-cycle tertiary education,2017,0.0
278,AUT,Austria,Public educational institutions,Part-time,Short-cycle tertiary education,2018,0.0
279,AUT,Austria,Public educational institutions,Part-time,Short-cycle tertiary education,2019,0.0
315,AUT,Austria,Public educational institutions,Full-time,Bachelor’s or equivalent level,2013,142936.258
316,AUT,Austria,Public educational institutions,Full-time,Bachelor’s or equivalent level,2014,140696.892
317,AUT,Austria,Public educational institutions,Full-time,Bachelor’s or equivalent level,2015,143135.405
318,AUT,Austria,Public educational institutions,Full-time,Bachelor’s or equivalent level,2016,149730.436
319,AUT,Austria,Public educational institutions,Full-time,Bachelor’s or equivalent level,2017,150911.925
320,AUT,Austria,Public educational institutions,Full-time,Bachelor’s or equivalent level,2018,150459.197
321,AUT,Austria,Public educational institutions,Full-time,Bachelor’s or equivalent level,2019,148985.396
336,AUT,Austria,Public educational institutions,Part-time,Bachelor’s or equivalent level,2013,0.0
337,AUT,Austria,Public educational institutions,Part-time,Bachelor’s or equivalent level,2014,0.0
338,AUT,Austria,Public educational institutions,Part-time,Bachelor’s or equivalent level,2015,0.0
339,AUT,Austria,Public educational institutions,Part-time,Bachelor’s or equivalent level,2016,0.0
340,AUT,Austria,Public educational institutions,Part-time,Bachelor’s or equivalent level,2017,0.0
341,AUT,Austria,Public educational institutions,Part-time,Bachelor’s or equivalent level,2018,0.0
342,AUT,Austria,Public educational institutions,Part-time,Bachelor’s or equivalent level,2019,0.0
378,AUT,Austria,Public educational institutions,Full-time,Master’s or equivalent level,2013,124375.806
379,AUT,Austria,Public educational institutions,Full-time,Master’s or equivalent level,2014,122862.275
380,AUT,Austria,Public educational institutions,Full-time,Master’s or equivalent level,2015,122080.514
381,AUT,Austria,Public educational institutions,Full-time,Master’s or equivalent level,2016,118324.331
382,AUT,Austria,Public educational institutions,Full-time,Master’s or equivalent level,2017,115160.815
383,AUT,Austria,Public educational institutions,Full-time,Master’s or equivalent level,2018,112541.455
384,AUT,Austria,Public educational institutions,Full-time,Master’s or equivalent level,2019,108062.778
399,AUT,Austria,Public educational institutions,Part-time,Master’s or equivalent level,2013,0.0
400,AUT,Austria,Public educational institutions,Part-time,Master’s or equivalent level,2014,0.0
401,AUT,Austria,Public educational institutions,Part-time,Master’s or equivalent level,2015,0.0
402,AUT,Austria,Public educational institutions,Part-time,Master’s or equivalent level,2016,0.0
403,AUT,Austria,Public educational institutions,Part-time,Master’s or equivalent level,2017,0.0
404,AUT,Austria,Public educational institutions,Part-time,Master’s or equivalent level,2018,0.0
405,AUT,Austria,Public educational institutions,Part-time,Master’s or equivalent level,2019,0.0
441,AUT,Austria,Public educational institutions,Full-time,Doctoral or equivalent level,2013,25300.399
442,AUT,Austria,Public educational institutions,Full-time,Doctoral or equivalent level,2014,24237.918
443,AUT,Austria,Public educational institutions,Full-time,Doctoral or equivalent level,2015,23723.999
444,AUT,Austria,Public educational institutions,Full-time,Doctoral or equivalent level,2016,23180.798
445,AUT,Austria,Public educational institutions,Full-time,Doctoral or equivalent level,2017,22456.897
446,AUT,Austria,Public educational institutions,Full-time,Doctoral or equivalent level,2018,20029.374
447,AUT,Austria,Public educational institutions,Full-time,Doctoral or equivalent level,2019,18960.228
462,AUT,Austria,Public educational institutions,Part-time,Doctoral or equivalent level,2013,0.0
463,AUT,Austria,Public educational institutions,Part-time,Doctoral or equivalent level,2014,0.0
464,AUT,Austria,Public educational institutions,Part-time,Doctoral or equivalent level,2015,0.0
465,AUT,Austria,Public educational institutions,Part-time,Doctoral or equivalent level,2016,0.0
466,AUT,Austria,Public educational institutions,Part-time,Doctoral or equivalent level,2017,0.0
467,AUT,Austria,Public educational institutions,Part-time,Doctoral or equivalent level,2018,0.0
468,AUT,Austria,Public educational institutions,Part-time,Doctoral or equivalent level,2019,0.0
504,BEL,Belgium,Public educational institutions,Full-time,Short-cycle tertiary education,2013,1776.0
505,BEL,Belgium,Public educational institutions,Full-time,Short-cycle tertiary education,2014,1913.0
506,BEL,Belgium,Public educational institutions,Full-time,Short-cycle tertiary education,2015,1958.0
507,BEL,Belgium,Public educational institutions,Full-time,Short-cycle tertiary education,2016,1979.0
508,BEL,Belgium,Public educational institutions,Full-time,Short-cycle tertiary education,2017,1908.0
509,BEL,Belgium,Public educational institutions,Full-time,Short-cycle tertiary education,2018,1887.0
510,BEL,Belgium,Public educational institutions,Full-time,Short-cycle tertiary education,2019,1885.0
511,BEL,Belgium,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2013,5093.0
512,BEL,Belgium,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2014,5470.0
513,BEL,Belgium,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2015,5444.0
514,BEL,Belgium,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2016,5455.0
515,BEL,Belgium,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2017,5154.0
516,BEL,Belgium,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2018,4819.0
517,BEL,Belgium,Government dependent private educational institutions,Full-time,Short-cycle tertiary education,2019,4704.0
519,BEL,Belgium,Independent private educational institutions,Full-time,Short-cycle tertiary education,2014,0.0
520,BEL,Belgium,Independent private educational institutions,Full-time,Short-cycle tertiary education,2015,0.0
521,BEL,Belgium,Independent private educational institutions,Full-time,Short-cycle tertiary education,2016,0.0
522,BEL,Belgium,Independent private educational institutions,Full-time,Short-cycle tertiary education,2017,0.0
523,BEL,Belgium,Independent private educational institutions,Full-time,Short-cycle tertiary education,2018,0.0
524,BEL,Belgium,Independent private educational institutions,Full-time,Short-cycle tertiary education,2019,0.0
525,BEL,Belgium,Public educational institutions,Part-time,Short-cycle tertiary education,2013,7205.0
526,BEL,Belgium,Public educational institutions,Part-time,Short-cycle tertiary education,2014,7953.0
527,BEL,Belgium,Public educational institutions,Part-time,Short-cycle tertiary education,2015,7921.0
528,BEL,Belgium,Public educational institutions,Part-time,Short-cycle tertiary education,2016,7931.0
529,BEL,Belgium,Public educational institutions,Part-time,Short-cycle tertiary education,2017,7816.0
530,BEL,Belgium,Public educational institutions,Part-time,Short-cycle tertiary education,2018,7036.0
531,BEL,Belgium,Public educational institutions,Part-time,Short-cycle tertiary education,2019,7213.0
532,BEL,Belgium,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2013,10049.0
533,BEL,Belgium,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2014,9231.0
534,BEL,Belgium,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2015,9091.0
535,BEL,Belgium,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2016,8942.0
536,BEL,Belgium,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2017,8621.0
537,BEL,Belgium,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2018,8978.0
538,BEL,Belgium,Government dependent private educational institutions,Part-time,Short-cycle tertiary education,2019,8224.0
540,BEL,Belgium,Independent private educational institutions,Part-time,Short-cycle tertiary education,2014,0.0
541,BEL,Belgium,Independent private educational institutions,Part-time,Short-cycle tertiary education,2015,0.0
542,BEL,Belgium,Independent private educational institutions,Part-time,Short-cycle tertiary education,2016,0.0
543,BEL,Belgium,Independent private educational institutions,Part-time,Short-cycle tertiary education,2017,0.0
544,BEL,Belgium,Independent private educational institutions,Part-time,Short-cycle tertiary education,2018,0.0
545,BEL,Belgium,Independent private educational institutions,Part-time,Short-cycle tertiary education,2019,0.0
560,BEL,Belgium,Public educational institutions,Full-time,Bachelor’s or equivalent level,2013,109451.0
561,BEL,Belgium,Public educational institutions,Full-time,Bachelor’s or equivalent level,2014,107538.0
562,BEL,Belgium,Public educational institutions,Full-time,Bachelor’s or equivalent level,2015,112174.0
563,BEL,Belgium,Public educational institutions,Full-time,Bachelor’s or equivalent level,2016,112872.0
564,BEL,Belgium,Public educational institutions,Full-time,Bachelor’s or equivalent level,2017,113820.0
565,BEL,Belgium,Public educational institutions,Full-time,Bachelor’s or equivalent level,2018,113411.0
566,BEL,Belgium,Public educational institutions,Full-time,Bachelor’s or equivalent level,2019,114204.0
567,BEL,Belgium,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,155911.0
568,BEL,Belgium,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,153348.0
569,BEL,Belgium,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,156222.0
570,BEL,Belgium,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,159238.0
571,BEL,Belgium,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,160212.0
572,BEL,Belgium,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2018,161759.0
573,BEL,Belgium,Government dependent private educational institutions,Full-time,Bachelor’s or equivalent level,2019,164117.0
574,BEL,Belgium,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2013,526.0
575,BEL,Belgium,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2014,537.0
576,BEL,Belgium,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2015,535.0
577,BEL,Belgium,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2016,487.0
578,BEL,Belgium,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2017,405.0
579,BEL,Belgium,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2018,403.0
580,BEL,Belgium,Independent private educational institutions,Full-time,Bachelor’s or equivalent level,2019,450.0
581,BEL,Belgium,Public educational institutions,Part-time,Bachelor’s or equivalent level,2013,46428.0
582,BEL,Belgium,Public educational institutions,Part-time,Bachelor’s or equivalent level,2014,49343.0
583,BEL,Belgium,Public educational institutions,Part-time,Bachelor’s or equivalent level,2015,48849.0
584,BEL,Belgium,Public educational institutions,Part-time,Bachelor’s or equivalent level,2016,46898.0
585,BEL,Belgium,Public educational institutions,Part-time,Bachelor’s or equivalent level,2017,51262.0
586,BEL,Belgium,Public educational institutions,Part-time,Bachelor’s or equivalent level,2018,46287.0
587,BEL,Belgium,Public educational institutions,Part-time,Bachelor’s or equivalent level,2019,47032.0
588,BEL,Belgium,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,51886.0
589,BEL,Belgium,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,52014.0
590,BEL,Belgium,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,48145.0
591,BEL,Belgium,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,49804.0
592,BEL,Belgium,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,58474.0
593,BEL,Belgium,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2018,50826.0
594,BEL,Belgium,Government dependent private educational institutions,Part-time,Bachelor’s or equivalent level,2019,50670.0
595,BEL,Belgium,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2013,0.0
596,BEL,Belgium,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2014,0.0
597,BEL,Belgium,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2015,0.0
598,BEL,Belgium,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2016,0.0
599,BEL,Belgium,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2017,0.0
600,BEL,Belgium,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2018,0.0
601,BEL,Belgium,Independent private educational institutions,Part-time,Bachelor’s or equivalent level,2019,0.0
623,BEL,Belgium,Public educational institutions,Full-time,Master’s or equivalent level,2013,24495.0
624,BEL,Belgium,Public educational institutions,Full-time,Master’s or equivalent level,2014,26896.0
625,BEL,Belgium,Public educational institutions,Full-time,Master’s or equivalent level,2015,27822.0
626,BEL,Belgium,Public educational institutions,Full-time,Master’s or equivalent level,2016,28420.0
627,BEL,Belgium,Public educational institutions,Full-time,Master’s or equivalent level,2017,30119.0
628,BEL,Belgium,Public educational institutions,Full-time,Master’s or equivalent level,2018,30292.0
629,BEL,Belgium,Public educational institutions,Full-time,Master’s or equivalent level,2019,29412.0
630,BEL,Belgium,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2013,39747.0
631,BEL,Belgium,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2014,42690.0
632,BEL,Belgium,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2015,45665.0
633,BEL,Belgium,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2016,45338.0
634,BEL,Belgium,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2017,47257.0
635,BEL,Belgium,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2018,48208.0
636,BEL,Belgium,Government dependent private educational institutions,Full-time,Master’s or equivalent level,2019,49101.0
637,BEL,Belgium,Independent private educational institutions,Full-time,Master’s or equivalent level,2013,489.0
638,BEL,Belgium,Independent private educational institutions,Full-time,Master’s or equivalent level,2014,428.0
639,BEL,Belgium,Independent private educational institutions,Full-time,Master’s or equivalent level,2015,403.0
640,BEL,Belgium,Independent private educational institutions,Full-time,Master’s or equivalent level,2016,571.0
641,BEL,Belgium,Independent private educational institutions,Full-time,Master’s or equivalent level,2017,429.0
642,BEL,Belgium,Independent private educational institutions,Full-time,Master’s or equivalent level,2018,440.0
643,BEL,Belgium,Independent private educational institutions,Full-time,Master’s or equivalent level,2019,438.0
644,BEL,Belgium,Public educational institutions,Part-time,Master’s or equivalent level,2013,9409.0
645,BEL,Belgium,Public educational institutions,Part-time,Master’s or equivalent level,2014,10361.0
646,BEL,Belgium,Public educational institutions,Part-time,Master’s or equivalent level,2015,10947.0
647,BEL,Belgium,Public educational institutions,Part-time,Master’s or equivalent level,2016,10753.0
648,BEL,Belgium,Public educational institutions,Part-time,Master’s or equivalent level,2017,11174.0
649,BEL,Belgium,Public educational institutions,Part-time,Master’s or equivalent level,2018,11057.0
650,BEL,Belgium,Public educational institutions,Part-time,Master’s or equivalent level,2019,10962.0
651,BEL,Belgium,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2013,11413.0
652,BEL,Belgium,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2014,12584.0
653,BEL,Belgium,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2015,13083.0
654,BEL,Belgium,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2016,12897.0
655,BEL,Belgium,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2017,13088.0
656,BEL,Belgium,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2018,12788.0
657,BEL,Belgium,Government dependent private educational institutions,Part-time,Master’s or equivalent level,2019,13748.0
658,BEL,Belgium,Independent private educational institutions,Part-time,Master’s or equivalent level,2013,0.0
659,BEL,Belgium,Independent private educational institutions,Part-time,Master’s or equivalent level,2014,0.0
660,BEL,Belgium,Independent private educational institutions,Part-time,Master’s or equivalent level,2015,0.0
661,BEL,Belgium,Independent private educational institutions,Part-time,Master’s or equivalent level,2016,0.0
662,BEL,Belgium,Independent private educational institutions,Part-time,Master’s or equivalent level,2017,0.0
663,BEL,Belgium,Independent private educational institutions,Part-time,Master’s or equivalent level,2018,0.0
664,BEL,Belgium,Independent private educational institutions,Part-time,Master’s or equivalent level,2019,0.0
686,BEL,Belgium,Public educational institutions,Full-time,Doctoral or equivalent level,2013,8413.0
687,BEL,Belgium,Public educational institutions,Full-time,Doctoral or equivalent level,2014,8867.0
