,COUNTRY,Country,Gender,Field,International mobility,Education level,Year,Value
1296,GRC,Greece,Female,"Agriculture, forestry, fisheries and veterinary",Total,Doctoral or equivalent level,2019,378.0
1297,GRC,Greece,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Doctoral or equivalent level,2019,4.0
1298,GRC,Greece,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Doctoral or equivalent level,2019,3.0
1299,GRC,Greece,Male,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Doctoral or equivalent level,2019,0.0
1301,GRC,Greece,Female,Health and welfare,Total,Bachelor’s or equivalent level,2019,30344.0
1302,GRC,Greece,Female,Health and welfare,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1604.0
1303,GRC,Greece,Female,Health and welfare,Total,Master’s or equivalent level,2019,6153.0
1304,GRC,Greece,Female,Health and welfare,Mobile including homecoming nationals,Master’s or equivalent level,2019,201.0
1305,GRC,Greece,Male,Health and welfare,Mobile including homecoming nationals,Master’s or equivalent level,2019,83.0
1306,GRC,Greece,Male,Health and welfare,Homecoming nationals,Master’s or equivalent level,2019,2.0
1307,GRC,Greece,Female,Health and welfare,Mobile including homecoming nationals,Doctoral or equivalent level,2019,240.0
1308,GRC,Greece,Male,Health and welfare,Homecoming nationals,Doctoral or equivalent level,2019,0.0
1312,GRC,Greece,Female,Services,Total,Bachelor’s or equivalent level,2019,8396.0
1313,GRC,Greece,Male,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,576.0
1314,GRC,Greece,Male,Services,Homecoming nationals,Bachelor’s or equivalent level,2019,117.0
1315,GRC,Greece,Female,Services,Mobile including homecoming nationals,Master’s or equivalent level,2019,7.0
1316,GRC,Greece,Female,Services,Homecoming nationals,Master’s or equivalent level,2019,0.0
1317,GRC,Greece,Female,Services,Total,Doctoral or equivalent level,2019,239.0
1318,GRC,Greece,Female,Services,Mobile including homecoming nationals,Doctoral or equivalent level,2019,2.0
1319,GRC,Greece,Female,Services,Homecoming nationals,Doctoral or equivalent level,2019,0.0
1320,HUN,Hungary,Female,Education,Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
1321,HUN,Hungary,Male,Education,Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
1324,HUN,Hungary,Female,Education,Total,Bachelor’s or equivalent level,2019,18836.0
1325,HUN,Hungary,Male,Education,Total,Bachelor’s or equivalent level,2019,1579.0
1326,HUN,Hungary,Male,Education,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,16.0
1329,HUN,Hungary,Female,Education,Total,Master’s or equivalent level,2019,8644.0
1330,HUN,Hungary,Male,Education,Total,Master’s or equivalent level,2019,4910.0
1333,HUN,Hungary,Female,Education,Total,Doctoral or equivalent level,2019,237.0
1334,HUN,Hungary,Male,Education,Mobile including homecoming nationals,Doctoral or equivalent level,2019,26.0
1336,HUN,Hungary,Female,Arts and humanities,Total,Short-cycle tertiary education,2019,127.0
1337,HUN,Hungary,Female,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,3.0
1339,HUN,Hungary,Male,Arts and humanities,Total,Bachelor’s or equivalent level,2019,5305.0
1340,HUN,Hungary,Female,Arts and humanities,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,821.0
1341,HUN,Hungary,Male,Arts and humanities,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,525.0
1343,HUN,Hungary,Female,Arts and humanities,Total,Master’s or equivalent level,2019,3172.0
1344,HUN,Hungary,Male,Arts and humanities,Total,Master’s or equivalent level,2019,2269.0
1345,HUN,Hungary,Male,Arts and humanities,Mobile including homecoming nationals,Master’s or equivalent level,2019,424.0
1347,HUN,Hungary,Male,Arts and humanities,Total,Doctoral or equivalent level,2019,642.0
1348,HUN,Hungary,Male,Arts and humanities,Mobile including homecoming nationals,Doctoral or equivalent level,2019,157.0
1350,HUN,Hungary,Female,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,61.0
1351,HUN,Hungary,Male,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,48.0
1353,HUN,Hungary,Male,"Social sciences, journalism and information",Total,Bachelor’s or equivalent level,2019,6179.0
1354,HUN,Hungary,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Master’s or equivalent level,2019,603.0
1357,HUN,Hungary,Female,"Social sciences, journalism and information",Total,Doctoral or equivalent level,2019,588.0
1358,HUN,Hungary,Male,"Social sciences, journalism and information",Total,Doctoral or equivalent level,2019,563.0
1361,HUN,Hungary,Female,"Business, administration and law",Mobile including homecoming nationals,Short-cycle tertiary education,2019,39.0
1362,HUN,Hungary,Male,"Business, administration and law",Mobile including homecoming nationals,Short-cycle tertiary education,2019,20.0
1364,HUN,Hungary,Female,"Business, administration and law",Total,Bachelor’s or equivalent level,2019,20555.0
1365,HUN,Hungary,Male,"Business, administration and law",Total,Bachelor’s or equivalent level,2019,15225.0
1366,HUN,Hungary,Male,"Business, administration and law",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1038.0
1368,HUN,Hungary,Male,"Business, administration and law",Total,Master’s or equivalent level,2019,8536.0
1369,HUN,Hungary,Male,"Business, administration and law",Mobile including homecoming nationals,Master’s or equivalent level,2019,511.0
1370,HUN,Hungary,Female,"Business, administration and law",Total,Doctoral or equivalent level,2019,249.0
1371,HUN,Hungary,Male,"Business, administration and law",Mobile including homecoming nationals,Doctoral or equivalent level,2019,46.0
1373,HUN,Hungary,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
1375,HUN,Hungary,Female,"Natural sciences, mathematics and statistics",Total,Bachelor’s or equivalent level,2019,2815.0
1376,HUN,Hungary,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,218.0
1377,HUN,Hungary,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,200.0
1379,HUN,Hungary,Female,"Natural sciences, mathematics and statistics",Total,Master’s or equivalent level,2019,991.0
1382,HUN,Hungary,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,182.0
1384,HUN,Hungary,Female,Information and Communication Technologies (ICTs),Total,Short-cycle tertiary education,2019,189.0
1385,HUN,Hungary,Male,Information and Communication Technologies (ICTs),Total,Short-cycle tertiary education,2019,1166.0
1386,HUN,Hungary,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Short-cycle tertiary education,2019,4.0
1387,HUN,Hungary,Male,Information and Communication Technologies (ICTs),Total,Bachelor’s or equivalent level,2019,15498.0
1388,HUN,Hungary,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,208.0
1389,HUN,Hungary,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,1019.0
1392,HUN,Hungary,Male,Information and Communication Technologies (ICTs),Total,Master’s or equivalent level,2019,1121.0
1395,HUN,Hungary,Female,Information and Communication Technologies (ICTs),Total,Doctoral or equivalent level,2019,66.0
1396,HUN,Hungary,Male,Information and Communication Technologies (ICTs),Total,Doctoral or equivalent level,2019,277.0
1397,HUN,Hungary,Male,"Engineering, manufacturing and construction",Total,Short-cycle tertiary education,2019,133.0
1398,HUN,Hungary,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
1400,HUN,Hungary,Female,"Engineering, manufacturing and construction",Total,Bachelor’s or equivalent level,2019,7385.0
1401,HUN,Hungary,Male,"Engineering, manufacturing and construction",Total,Bachelor’s or equivalent level,2019,25313.0
1403,HUN,Hungary,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Master’s or equivalent level,2019,434.0
1406,HUN,Hungary,Female,"Engineering, manufacturing and construction",Total,Doctoral or equivalent level,2019,226.0
1407,HUN,Hungary,Male,"Engineering, manufacturing and construction",Total,Doctoral or equivalent level,2019,474.0
1408,HUN,Hungary,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Doctoral or equivalent level,2019,71.0
1409,HUN,Hungary,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Doctoral or equivalent level,2019,162.0
1410,HUN,Hungary,Male,"Agriculture, forestry, fisheries and veterinary",Total,Short-cycle tertiary education,2019,411.0
1411,HUN,Hungary,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Short-cycle tertiary education,2019,3.0
1413,HUN,Hungary,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,369.0
1417,HUN,Hungary,Female,"Agriculture, forestry, fisheries and veterinary",Total,Doctoral or equivalent level,2019,162.0
1418,HUN,Hungary,Male,"Agriculture, forestry, fisheries and veterinary",Total,Doctoral or equivalent level,2019,147.0
1419,HUN,Hungary,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Doctoral or equivalent level,2019,22.0
1420,HUN,Hungary,Male,Health and welfare,Total,Short-cycle tertiary education,2019,13.0
1421,HUN,Hungary,Female,Health and welfare,Mobile including homecoming nationals,Short-cycle tertiary education,2019,1.0
1423,HUN,Hungary,Male,Health and welfare,Total,Bachelor’s or equivalent level,2019,1955.0
1424,HUN,Hungary,Male,Health and welfare,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,497.0
1426,HUN,Hungary,Female,Health and welfare,Total,Master’s or equivalent level,2019,10971.0
1427,HUN,Hungary,Male,Health and welfare,Total,Master’s or equivalent level,2019,7629.0
1428,HUN,Hungary,Female,Health and welfare,Mobile including homecoming nationals,Master’s or equivalent level,2019,4639.0
1429,HUN,Hungary,Male,Health and welfare,Mobile including homecoming nationals,Master’s or equivalent level,2019,4232.0
1432,HUN,Hungary,Female,Health and welfare,Total,Doctoral or equivalent level,2019,730.0
1433,HUN,Hungary,Male,Health and welfare,Total,Doctoral or equivalent level,2019,501.0
1434,HUN,Hungary,Female,Services,Total,Short-cycle tertiary education,2019,1264.0
1435,HUN,Hungary,Female,Services,Mobile including homecoming nationals,Short-cycle tertiary education,2019,12.0
1436,HUN,Hungary,Male,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,244.0
1438,HUN,Hungary,Female,Services,Total,Master’s or equivalent level,2019,465.0
1439,HUN,Hungary,Male,Services,Total,Master’s or equivalent level,2019,633.0
1442,HUN,Hungary,Female,Services,Total,Doctoral or equivalent level,2019,89.0
1443,HUN,Hungary,Male,Services,Total,Doctoral or equivalent level,2019,228.0
1445,ISL,Iceland,Female,Education,Total,Short-cycle tertiary education,2019,20.0
1446,ISL,Iceland,Male,Education,Homecoming nationals,Short-cycle tertiary education,2019,0.0
1447,ISL,Iceland,Female,Education,Total,Bachelor’s or equivalent level,2019,1132.0
1448,ISL,Iceland,Male,Education,Total,Bachelor’s or equivalent level,2019,288.0
1449,ISL,Iceland,Female,Education,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,30.0
1450,ISL,Iceland,Male,Education,Homecoming nationals,Bachelor’s or equivalent level,2019,2.0
1451,ISL,Iceland,Male,Education,Mobile including homecoming nationals,Master’s or equivalent level,2019,8.0
1452,ISL,Iceland,Male,Education,Homecoming nationals,Master’s or equivalent level,2019,1.0
1453,ISL,Iceland,Male,Education,Total,Doctoral or equivalent level,2019,15.0
1454,ISL,Iceland,Female,Education,Mobile including homecoming nationals,Doctoral or equivalent level,2019,5.0
1455,ISL,Iceland,Male,Education,Mobile including homecoming nationals,Doctoral or equivalent level,2019,3.0
1456,ISL,Iceland,Female,Education,Homecoming nationals,Doctoral or equivalent level,2019,2.0
1457,ISL,Iceland,Male,Education,Homecoming nationals,Doctoral or equivalent level,2019,1.0
1458,ISL,Iceland,Female,Arts and humanities,Total,Short-cycle tertiary education,2019,165.0
1459,ISL,Iceland,Female,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,136.0
1460,ISL,Iceland,Male,Arts and humanities,Homecoming nationals,Short-cycle tertiary education,2019,1.0
1461,ISL,Iceland,Male,Arts and humanities,Total,Bachelor’s or equivalent level,2019,512.0
1462,ISL,Iceland,Female,Arts and humanities,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,235.0
1463,ISL,Iceland,Female,Arts and humanities,Homecoming nationals,Bachelor’s or equivalent level,2019,29.0
1464,ISL,Iceland,Female,Arts and humanities,Total,Master’s or equivalent level,2019,248.0
1465,ISL,Iceland,Male,Arts and humanities,Total,Master’s or equivalent level,2019,129.0
1466,ISL,Iceland,Female,Arts and humanities,Mobile including homecoming nationals,Master’s or equivalent level,2019,88.0
1467,ISL,Iceland,Male,Arts and humanities,Mobile including homecoming nationals,Master’s or equivalent level,2019,44.0
1468,ISL,Iceland,Female,Arts and humanities,Total,Doctoral or equivalent level,2019,59.0
1469,ISL,Iceland,Male,Arts and humanities,Homecoming nationals,Doctoral or equivalent level,2019,1.0
1470,ISL,Iceland,Male,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,5.0
1471,ISL,Iceland,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Short-cycle tertiary education,2019,1.0
1472,ISL,Iceland,Female,"Social sciences, journalism and information",Homecoming nationals,Short-cycle tertiary education,2019,1.0
1473,ISL,Iceland,Male,"Social sciences, journalism and information",Total,Bachelor’s or equivalent level,2019,694.0
1474,ISL,Iceland,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,52.0
1475,ISL,Iceland,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,20.0
1476,ISL,Iceland,Female,"Social sciences, journalism and information",Homecoming nationals,Bachelor’s or equivalent level,2019,18.0
1477,ISL,Iceland,Male,"Social sciences, journalism and information",Homecoming nationals,Bachelor’s or equivalent level,2019,6.0
1478,ISL,Iceland,Male,"Social sciences, journalism and information",Total,Master’s or equivalent level,2019,105.0
1479,ISL,Iceland,Male,"Social sciences, journalism and information",Homecoming nationals,Master’s or equivalent level,2019,2.0
1480,ISL,Iceland,Female,"Social sciences, journalism and information",Total,Doctoral or equivalent level,2019,52.0
1481,ISL,Iceland,Female,"Social sciences, journalism and information",Homecoming nationals,Doctoral or equivalent level,2019,1.0
1482,ISL,Iceland,Male,"Social sciences, journalism and information",Homecoming nationals,Doctoral or equivalent level,2019,1.0
1483,ISL,Iceland,Female,"Business, administration and law",Total,Short-cycle tertiary education,2019,6.0
1484,ISL,Iceland,Male,"Business, administration and law",Total,Short-cycle tertiary education,2019,9.0
1485,ISL,Iceland,Female,"Business, administration and law",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
1486,ISL,Iceland,Male,"Business, administration and law",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
1487,ISL,Iceland,Male,"Business, administration and law",Homecoming nationals,Short-cycle tertiary education,2019,0.0
1488,ISL,Iceland,Male,"Business, administration and law",Total,Bachelor’s or equivalent level,2019,859.0
1489,ISL,Iceland,Male,"Business, administration and law",Homecoming nationals,Bachelor’s or equivalent level,2019,5.0
1490,ISL,Iceland,Female,"Business, administration and law",Total,Master’s or equivalent level,2019,936.0
1491,ISL,Iceland,Female,"Business, administration and law",Mobile including homecoming nationals,Master’s or equivalent level,2019,30.0
1492,ISL,Iceland,Female,"Business, administration and law",Homecoming nationals,Master’s or equivalent level,2019,5.0
1493,ISL,Iceland,Female,"Business, administration and law",Total,Doctoral or equivalent level,2019,17.0
1494,ISL,Iceland,Female,"Business, administration and law",Mobile including homecoming nationals,Doctoral or equivalent level,2019,3.0
1495,ISL,Iceland,Male,"Business, administration and law",Mobile including homecoming nationals,Doctoral or equivalent level,2019,2.0
1496,ISL,Iceland,Female,"Business, administration and law",Homecoming nationals,Doctoral or equivalent level,2019,1.0
1497,ISL,Iceland,Female,"Natural sciences, mathematics and statistics",Total,Short-cycle tertiary education,2019,0.0
1498,ISL,Iceland,Male,"Natural sciences, mathematics and statistics",Total,Short-cycle tertiary education,2019,0.0
1499,ISL,Iceland,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
1500,ISL,Iceland,Female,"Natural sciences, mathematics and statistics",Homecoming nationals,Short-cycle tertiary education,2019,0.0
1501,ISL,Iceland,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,18.0
1502,ISL,Iceland,Male,"Natural sciences, mathematics and statistics",Homecoming nationals,Bachelor’s or equivalent level,2019,6.0
1503,ISL,Iceland,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Master’s or equivalent level,2019,82.0
1504,ISL,Iceland,Male,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Master’s or equivalent level,2019,39.0
1505,ISL,Iceland,Female,"Natural sciences, mathematics and statistics",Homecoming nationals,Master’s or equivalent level,2019,3.0
1506,ISL,Iceland,Female,"Natural sciences, mathematics and statistics",Mobile including homecoming nationals,Doctoral or equivalent level,2019,40.0
1507,ISL,Iceland,Female,"Natural sciences, mathematics and statistics",Homecoming nationals,Doctoral or equivalent level,2019,1.0
1508,ISL,Iceland,Male,"Natural sciences, mathematics and statistics",Homecoming nationals,Doctoral or equivalent level,2019,2.0
1509,ISL,Iceland,Female,Information and Communication Technologies (ICTs),Total,Short-cycle tertiary education,2019,13.0
1510,ISL,Iceland,Male,Information and Communication Technologies (ICTs),Total,Short-cycle tertiary education,2019,44.0
1511,ISL,Iceland,Female,Information and Communication Technologies (ICTs),Total,Bachelor’s or equivalent level,2019,233.0
1512,ISL,Iceland,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,16.0
1513,ISL,Iceland,Female,Information and Communication Technologies (ICTs),Total,Master’s or equivalent level,2019,14.0
1514,ISL,Iceland,Male,Information and Communication Technologies (ICTs),Total,Master’s or equivalent level,2019,54.0
1515,ISL,Iceland,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Master’s or equivalent level,2019,1.0
1516,ISL,Iceland,Male,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Master’s or equivalent level,2019,3.0
1517,ISL,Iceland,Female,Information and Communication Technologies (ICTs),Homecoming nationals,Master’s or equivalent level,2019,0.0
1518,ISL,Iceland,Male,Information and Communication Technologies (ICTs),Homecoming nationals,Master’s or equivalent level,2019,0.0
1519,ISL,Iceland,Female,Information and Communication Technologies (ICTs),Mobile including homecoming nationals,Doctoral or equivalent level,2019,2.0
1520,ISL,Iceland,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Short-cycle tertiary education,2019,1.0
1521,ISL,Iceland,Female,"Engineering, manufacturing and construction",Homecoming nationals,Short-cycle tertiary education,2019,0.0
1522,ISL,Iceland,Male,"Engineering, manufacturing and construction",Total,Bachelor’s or equivalent level,2019,814.0
1523,ISL,Iceland,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,5.0
1524,ISL,Iceland,Female,"Engineering, manufacturing and construction",Homecoming nationals,Bachelor’s or equivalent level,2019,1.0
1525,ISL,Iceland,Male,"Engineering, manufacturing and construction",Homecoming nationals,Bachelor’s or equivalent level,2019,8.0
1526,ISL,Iceland,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Master’s or equivalent level,2019,29.0
1527,ISL,Iceland,Female,"Engineering, manufacturing and construction",Homecoming nationals,Master’s or equivalent level,2019,1.0
1528,ISL,Iceland,Male,"Engineering, manufacturing and construction",Homecoming nationals,Master’s or equivalent level,2019,1.0
1529,ISL,Iceland,Female,"Engineering, manufacturing and construction",Total,Doctoral or equivalent level,2019,18.0
1530,ISL,Iceland,Male,"Engineering, manufacturing and construction",Total,Doctoral or equivalent level,2019,26.0
1531,ISL,Iceland,Female,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Doctoral or equivalent level,2019,11.0
1532,ISL,Iceland,Male,"Engineering, manufacturing and construction",Mobile including homecoming nationals,Doctoral or equivalent level,2019,15.0
1533,ISL,Iceland,Male,"Engineering, manufacturing and construction",Homecoming nationals,Doctoral or equivalent level,2019,0.0
1534,ISL,Iceland,Female,"Agriculture, forestry, fisheries and veterinary",Total,Short-cycle tertiary education,2019,1.0
1535,ISL,Iceland,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
1536,ISL,Iceland,Male,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Short-cycle tertiary education,2019,0.0
1537,ISL,Iceland,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,21.0
1538,ISL,Iceland,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,5.0
1539,ISL,Iceland,Female,"Agriculture, forestry, fisheries and veterinary",Total,Master’s or equivalent level,2019,8.0
1540,ISL,Iceland,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Master’s or equivalent level,2019,1.0
1541,ISL,Iceland,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Master’s or equivalent level,2019,1.0
1542,ISL,Iceland,Female,"Agriculture, forestry, fisheries and veterinary",Total,Doctoral or equivalent level,2019,0.0
1543,ISL,Iceland,Female,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Doctoral or equivalent level,2019,0.0
1544,ISL,Iceland,Male,"Agriculture, forestry, fisheries and veterinary",Mobile including homecoming nationals,Doctoral or equivalent level,2019,0.0
1545,ISL,Iceland,Female,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Doctoral or equivalent level,2019,0.0
1546,ISL,Iceland,Male,"Agriculture, forestry, fisheries and veterinary",Homecoming nationals,Doctoral or equivalent level,2019,0.0
1547,ISL,Iceland,Male,Health and welfare,Total,Short-cycle tertiary education,2019,0.0
1548,ISL,Iceland,Male,Health and welfare,Mobile including homecoming nationals,Short-cycle tertiary education,2019,0.0
1549,ISL,Iceland,Female,Health and welfare,Homecoming nationals,Short-cycle tertiary education,2019,0.0
1550,ISL,Iceland,Female,Health and welfare,Total,Bachelor’s or equivalent level,2019,1578.0
1551,ISL,Iceland,Female,Health and welfare,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,13.0
1552,ISL,Iceland,Female,Health and welfare,Total,Master’s or equivalent level,2019,646.0
1553,ISL,Iceland,Male,Health and welfare,Total,Master’s or equivalent level,2019,144.0
1554,ISL,Iceland,Female,Health and welfare,Mobile including homecoming nationals,Master’s or equivalent level,2019,11.0
1555,ISL,Iceland,Male,Health and welfare,Mobile including homecoming nationals,Master’s or equivalent level,2019,2.0
1556,ISL,Iceland,Female,Health and welfare,Homecoming nationals,Master’s or equivalent level,2019,5.0
1557,ISL,Iceland,Female,Health and welfare,Total,Doctoral or equivalent level,2019,78.0
1558,ISL,Iceland,Female,Health and welfare,Homecoming nationals,Doctoral or equivalent level,2019,2.0
1559,ISL,Iceland,Male,Health and welfare,Homecoming nationals,Doctoral or equivalent level,2019,2.0
1560,ISL,Iceland,Female,Services,Mobile including homecoming nationals,Short-cycle tertiary education,2019,1.0
1561,ISL,Iceland,Male,Services,Mobile including homecoming nationals,Short-cycle tertiary education,2019,1.0
1562,ISL,Iceland,Female,Services,Homecoming nationals,Short-cycle tertiary education,2019,0.0
1563,ISL,Iceland,Male,Services,Homecoming nationals,Short-cycle tertiary education,2019,1.0
1564,ISL,Iceland,Female,Services,Total,Bachelor’s or equivalent level,2019,296.0
1565,ISL,Iceland,Male,Services,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,2.0
1566,ISL,Iceland,Female,Services,Homecoming nationals,Bachelor’s or equivalent level,2019,1.0
1567,ISL,Iceland,Male,Services,Homecoming nationals,Bachelor’s or equivalent level,2019,1.0
1568,ISL,Iceland,Female,Services,Total,Master’s or equivalent level,2019,25.0
1569,ISL,Iceland,Female,Services,Homecoming nationals,Master’s or equivalent level,2019,0.0
1570,ISL,Iceland,Male,Services,Homecoming nationals,Master’s or equivalent level,2019,0.0
1571,ISL,Iceland,Male,Services,Total,Doctoral or equivalent level,2019,3.0
1572,ISL,Iceland,Female,Services,Mobile including homecoming nationals,Doctoral or equivalent level,2019,0.0
1573,ISL,Iceland,Male,Services,Mobile including homecoming nationals,Doctoral or equivalent level,2019,1.0
1574,ISL,Iceland,Female,Services,Homecoming nationals,Doctoral or equivalent level,2019,0.0
1575,IRL,Ireland,Female,Education,Total,Short-cycle tertiary education,2019,1397.0
1576,IRL,Ireland,Male,Education,Total,Short-cycle tertiary education,2019,214.0
1577,IRL,Ireland,Male,Education,Mobile including homecoming nationals,Short-cycle tertiary education,2019,17.0
1579,IRL,Ireland,Female,Education,Total,Bachelor’s or equivalent level,2019,5704.0
1580,IRL,Ireland,Male,Education,Total,Bachelor’s or equivalent level,2019,2054.0
1581,IRL,Ireland,Female,Education,Mobile including homecoming nationals,Bachelor’s or equivalent level,2019,31.0
1582,IRL,Ireland,Female,Education,Mobile including homecoming nationals,Master’s or equivalent level,2019,161.0
1583,IRL,Ireland,Male,Education,Mobile including homecoming nationals,Master’s or equivalent level,2019,55.0
1584,IRL,Ireland,Female,Education,Total,Doctoral or equivalent level,2019,370.0
1585,IRL,Ireland,Male,Education,Total,Doctoral or equivalent level,2019,158.0
1588,IRL,Ireland,Female,Arts and humanities,Total,Short-cycle tertiary education,2019,1024.0
1589,IRL,Ireland,Female,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,83.0
1590,IRL,Ireland,Male,Arts and humanities,Mobile including homecoming nationals,Short-cycle tertiary education,2019,60.0
1591,IRL,Ireland,Female,Arts and humanities,Total,Bachelor’s or equivalent level,2019,16619.0
1592,IRL,Ireland,Male,Arts and humanities,Total,Bachelor’s or equivalent level,2019,10811.0
1594,IRL,Ireland,Female,Arts and humanities,Total,Master’s or equivalent level,2019,1350.0
1596,IRL,Ireland,Female,Arts and humanities,Mobile including homecoming nationals,Doctoral or equivalent level,2019,208.0
1598,IRL,Ireland,Female,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,520.0
1599,IRL,Ireland,Male,"Social sciences, journalism and information",Total,Short-cycle tertiary education,2019,242.0
1600,IRL,Ireland,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Short-cycle tertiary education,2019,6.0
1603,IRL,Ireland,Female,"Social sciences, journalism and information",Total,Bachelor’s or equivalent level,2019,5195.0
1604,IRL,Ireland,Male,"Social sciences, journalism and information",Total,Bachelor’s or equivalent level,2019,3558.0
1606,IRL,Ireland,Female,"Social sciences, journalism and information",Mobile including homecoming nationals,Master’s or equivalent level,2019,551.0
1607,IRL,Ireland,Male,"Social sciences, journalism and information",Mobile including homecoming nationals,Master’s or equivalent level,2019,263.0
1611,IRL,Ireland,Female,"Business, administration and law",Mobile including homecoming nationals,Short-cycle tertiary education,2019,166.0
1612,IRL,Ireland,Male,"Business, administration and law",Mobile including homecoming nationals,Short-cycle tertiary education,2019,180.0
1614,IRL,Ireland,Male,"Business, administration and law",Total,Bachelor’s or equivalent level,2019,17072.0
1617,IRL,Ireland,Female,"Business, administration and law",Total,Master’s or equivalent level,2019,4297.0
1618,IRL,Ireland,Male,"Business, administration and law",Total,Master’s or equivalent level,2019,4266.0
1619,IRL,Ireland,Male,"Business, administration and law",Mobile including homecoming nationals,Master’s or equivalent level,2019,1303.0
1620,IRL,Ireland,Female,"Business, administration and law",Total,Doctoral or equivalent level,2019,390.0
1621,IRL,Ireland,Female,"Business, administration and law",Mobile including homecoming nationals,Doctoral or equivalent level,2019,136.0
1624,IRL,Ireland,Male,"Natural sciences, mathematics and statistics",Total,Short-cycle tertiary education,2019,741.0
