"COUNTRY","Country","ISC11A","ISC11A","SEX","Gender","AGE","Age","EARN_CATEGORY","EARN_CATEGORY","INDICATOR","Indicator","MEASURE","Measure","YEAR","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"SWE","Sweden","L5","Short-cycle tertiary education","T","Total","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",12.85634,,
"AUS","Australia","L6","Bachelor’s or equivalent education","F","Women","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"SVN","Slovenia","L6","Bachelor’s or equivalent education","T","Total","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"SWE","Sweden","L5","Short-cycle tertiary education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",8.234279,,
"CRI","Costa Rica","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"c","Data below the publication limit"
"TUR","Turkey","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"x","Data included in another category"
"BEL","Belgium","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"b; c","Series break; Data below the publication limit"
"KOR","Korea","L5","Short-cycle tertiary education","T","Total","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",49.51765,,
"SVK","Slovak Republic","L6","Bachelor’s or equivalent education","F","Women","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"NZL","New Zealand","L6","Bachelor’s or equivalent education","T","Total","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",11.54719,,
"SVK","Slovak Republic","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"LUX","Luxembourg","L5","Short-cycle tertiary education","M","Men","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"c","Data below the publication limit"
"NOR","Norway","L6","Bachelor’s or equivalent education","M","Men","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",19.03654,,
"GBR","United Kingdom","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",26.17858,,
"IRL","Ireland","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",6.980418,,
"COL","Colombia","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"MEX","Mexico","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",21.1797,,
"DNK","Denmark","L5","Short-cycle tertiary education","M","Men","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",33.84547,,
"DNK","Denmark","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",53.31398,,
"AUT","Austria","L6","Bachelor’s or equivalent education","T","Total","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",14.4903,,
"TUR","Turkey","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"x","Data included in another category"
"GBR","United Kingdom","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",72.61586,,
"KOR","Korea","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",26.99308,,
"DEU","Germany","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",44.50391,,
"GBR","United Kingdom","L6","Bachelor’s or equivalent education","F","Women","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",33.83305,,
"COL","Colombia","L5","Short-cycle tertiary education","M","Men","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"DNK","Denmark","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",11.4949,,
"NLD","Netherlands","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"DEU","Germany","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",71.2705,,
"ITA","Italy","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",,"x","Data included in another category"
"FIN","Finland","L5","Short-cycle tertiary education","T","Total","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",12.99906,,
"AUT","Austria","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",27.31741,,
"COL","Colombia","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"HUN","Hungary","L5","Short-cycle tertiary education","T","Total","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"HUN","Hungary","L6","Bachelor’s or equivalent education","T","Total","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"LVA","Latvia","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",16.96926,,
"FIN","Finland","L5","Short-cycle tertiary education","M","Men","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",48.66034,,
"E22","European Union 22 members in OECD","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"DNK","Denmark","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",62.81446,,
"PRT","Portugal","L5","Short-cycle tertiary education","T","Total","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"SVN","Slovenia","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"HUN","Hungary","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"PRT","Portugal","L6","Bachelor’s or equivalent education","T","Total","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"HUN","Hungary","L5","Short-cycle tertiary education","M","Men","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"OAVG","OECD - Average","L6","Bachelor’s or equivalent education","T","Total","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,21.84211,,
"CRI","Costa Rica","L5","Short-cycle tertiary education","F","Women","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"c","Data below the publication limit"
"SVN","Slovenia","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"FIN","Finland","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",12.58507,,
"FRA","France","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",,"c","Data below the publication limit"
"CHL","Chile","L5","Short-cycle tertiary education","F","Women","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",33.43915,,
"G20","G20","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"ISR","Israel","L5","Short-cycle tertiary education","T","Total","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",21.47935,,
"CHL","Chile","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",14.6067,,
"G20","G20","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,,"m","Missing data"
"LUX","Luxembourg","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"c","Data below the publication limit"
"SVN","Slovenia","L5","Short-cycle tertiary education","F","Women","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"DNK","Denmark","L6","Bachelor’s or equivalent education","F","Women","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",10.50102,,
"EST","Estonia","L6","Bachelor’s or equivalent education","M","Men","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",90.51717,,
"LTU","Lithuania","L6","Bachelor’s or equivalent education","M","Men","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"FRA","France","L5","Short-cycle tertiary education","F","Women","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",32.43764,,
"LTU","Lithuania","L5","Short-cycle tertiary education","F","Women","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"FRA","France","L5","Short-cycle tertiary education","F","Women","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",4.040461,,
"SVN","Slovenia","L6","Bachelor’s or equivalent education","F","Women","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"CAN","Canada","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",30.44503,,
"LVA","Latvia","L6","Bachelor’s or equivalent education","T","Total","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",79.24621,,
"KOR","Korea","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",9.884011,,
"SVN","Slovenia","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"ITA","Italy","L6","Bachelor’s or equivalent education","F","Women","Y55T64","55-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",,"x","Data included in another category"
"TUR","Turkey","L6","Bachelor’s or equivalent education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"x","Data included in another category"
"CZE","Czech Republic","L6","Bachelor’s or equivalent education","M","Men","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"ESP","Spain","L5","Short-cycle tertiary education","T","Total","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",67.4025,,
"AUT","Austria","L6","Bachelor’s or equivalent education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",38.08595,,
"NZL","New Zealand","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"c","Data below the publication limit"
"NOR","Norway","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",15.83212,,
"ISR","Israel","L5","Short-cycle tertiary education","M","Men","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"c","Data below the publication limit"
"BEL","Belgium","L5","Short-cycle tertiary education","M","Men","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"b; c","Series break; Data below the publication limit"
"LVA","Latvia","L6","Bachelor’s or equivalent education","M","Men","Y25T64","25-64 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",20.30671,,
"MEX","Mexico","L7T8","Master’s, Doctoral or equivalent education","F","Women","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"c","Data below the publication limit"
"PRT","Portugal","L6","Bachelor’s or equivalent education","T","Total","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"OAVG","OECD - Average","L6","Bachelor’s or equivalent education","T","Total","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year",,,"0","Units",,,57.23735,,
"AUS","Australia","L6","Bachelor’s or equivalent education","F","Women","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"POL","Poland","L5","Short-cycle tertiary education","M","Men","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"FRA","France","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",,"c","Data below the publication limit"
"KOR","Korea","L5","Short-cycle tertiary education","T","Total","Y55T64","55-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",5.890213,,
"CHL","Chile","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",47.42095,,
"CHL","Chile","L6","Bachelor’s or equivalent education","F","Women","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2017","2017",55.02224,,
"AUT","Austria","L7T8","Master’s, Doctoral or equivalent education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",4.537945,,
"CAN","Canada","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",31.05879,,
"AUS","Australia","L6","Bachelor’s or equivalent education","F","Women","Y25T34","25-34 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"TUR","Turkey","L6","Bachelor’s or equivalent education","F","Women","Y25T34","25-34 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"x","Data included in another category"
"ESP","Spain","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",76.46637,,
"POL","Poland","L5","Short-cycle tertiary education","M","Men","Y55T64","55-64 years","FTFY_EARNERS","Full-time, full-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2018","2018",,"m","Missing data"
"SVN","Slovenia","L7T8","Master’s, Doctoral or equivalent education","T","Total","Y25T64","25-64 years","PTPY_EARNERS","Part-time or part-year earners","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"m","Missing data"
"NZL","New Zealand","L5","Short-cycle tertiary education","M","Men","Y25T34","25-34 years","NO_EARNINGS","No earnings","POP_SHR_EARN","Share of population by category of earnings","VALUE","Value","9999","Latest available year","PC","Percentage","0","Units","2019","2019",,"c","Data below the publication limit"
