COUNTRY,Country,SEX,Gender,EDUCATION_FIELD,Field,MOBILITY,International mobility,EDUCATION_LEV,Education level,YEAR,Year,Value,Flag Codes,Flags
AUS,Australia,F,Female,F06,Information and Communication Technologies (ICTs),MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F06,Information and Communication Technologies (ICTs),MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F06,Information and Communication Technologies (ICTs),_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,1684,,
AUS,Australia,F,Female,F06,Information and Communication Technologies (ICTs),MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,429,,
AUS,Australia,M,Male,F06,Information and Communication Technologies (ICTs),MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,932,,
AUS,Australia,M,Male,F06,Information and Communication Technologies (ICTs),MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F07,"Engineering, manufacturing and construction",_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,6643,,
AUS,Australia,M,Male,F07,"Engineering, manufacturing and construction",_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,28662,,
AUS,Australia,F,Female,F07,"Engineering, manufacturing and construction",MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,1296,,
AUS,Australia,F,Female,F07,"Engineering, manufacturing and construction",MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F07,"Engineering, manufacturing and construction",_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,66145.196,,
AUS,Australia,F,Female,F07,"Engineering, manufacturing and construction",MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F07,"Engineering, manufacturing and construction",_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,24204.585,,
AUS,Australia,F,Female,F07,"Engineering, manufacturing and construction",MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,6979.249,,
AUS,Australia,M,Male,F07,"Engineering, manufacturing and construction",MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,18061.374,,
AUS,Australia,F,Female,F07,"Engineering, manufacturing and construction",MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F07,"Engineering, manufacturing and construction",MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F08,"Agriculture, forestry, fisheries and veterinary",_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,2165,,
AUS,Australia,M,Male,F08,"Agriculture, forestry, fisheries and veterinary",_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,1965,,
AUS,Australia,F,Female,F08,"Agriculture, forestry, fisheries and veterinary",MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F08,"Agriculture, forestry, fisheries and veterinary",MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F08,"Agriculture, forestry, fisheries and veterinary",MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,696.14,,
AUS,Australia,F,Female,F08,"Agriculture, forestry, fisheries and veterinary",MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F08,"Agriculture, forestry, fisheries and veterinary",MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,425.522,,
AUS,Australia,F,Female,F08,"Agriculture, forestry, fisheries and veterinary",MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F08,"Agriculture, forestry, fisheries and veterinary",MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F08,"Agriculture, forestry, fisheries and veterinary",MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,454,,
AUS,Australia,M,Male,F08,"Agriculture, forestry, fisheries and veterinary",MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,403,,
AUS,Australia,F,Female,F08,"Agriculture, forestry, fisheries and veterinary",MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F08,"Agriculture, forestry, fisheries and veterinary",MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F09,Health and welfare,MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,2067,,
AUS,Australia,M,Male,F09,Health and welfare,MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F09,Health and welfare,_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,167654.717,,
AUS,Australia,M,Male,F09,Health and welfare,_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,54402.679,,
AUS,Australia,F,Female,F09,Health and welfare,MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,18046.651,,
AUS,Australia,M,Male,F09,Health and welfare,MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,6991.374,,
AUS,Australia,M,Male,F09,Health and welfare,MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F09,Health and welfare,_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,38309.292,,
AUS,Australia,M,Male,F09,Health and welfare,_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,16193.984,,
AUS,Australia,F,Female,F09,Health and welfare,MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,9251.239,,
AUS,Australia,M,Male,F09,Health and welfare,MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,3709.679,,
AUS,Australia,F,Female,F09,Health and welfare,MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F09,Health and welfare,MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F09,Health and welfare,MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,1293,,
AUS,Australia,F,Female,F09,Health and welfare,MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F09,Health and welfare,MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F10,Services,_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,7651,,
AUS,Australia,F,Female,F10,Services,MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,483,,
AUS,Australia,M,Male,F10,Services,MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,419,,
AUS,Australia,F,Female,F10,Services,MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F10,Services,MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F10,Services,_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,5531.849,,
AUS,Australia,M,Male,F10,Services,_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,5833.028,,
AUS,Australia,F,Female,F10,Services,MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,334.302,,
AUS,Australia,M,Male,F10,Services,MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,640.602,,
AUS,Australia,F,Female,F10,Services,MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,M,Male,F10,Services,MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F10,Services,_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,1101.059,,
AUS,Australia,M,Male,F10,Services,_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,1074.435,,
AUS,Australia,F,Female,F10,Services,MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,,m,Missing value; data cannot exist
AUS,Australia,F,Female,F10,Services,_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,51,,
AUS,Australia,F,Female,F10,Services,MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,21,,
AUT,Austria,F,Female,F01,Education,_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,7487.033,,
AUT,Austria,F,Female,F01,Education,MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,92.167,,
AUT,Austria,F,Female,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,17,,
AUT,Austria,M,Male,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,3.5,,
AUT,Austria,F,Female,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,131.622,,
AUT,Austria,M,Male,F01,Education,_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,3750.225,,
AUT,Austria,F,Female,F01,Education,MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,896.306,,
AUT,Austria,F,Female,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,89.235,,
AUT,Austria,M,Male,F01,Education,MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,43.151,,
AUT,Austria,F,Female,F01,Education,_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,340.608,,
AUT,Austria,F,Female,F01,Education,MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,81.583,,
AUT,Austria,F,Female,F02,Arts and humanities,_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,2009.45,,
AUT,Austria,M,Male,F02,Arts and humanities,_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,770.483,,
AUT,Austria,F,Female,F02,Arts and humanities,MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,106.333,,
AUT,Austria,M,Male,F02,Arts and humanities,MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,70,,
AUT,Austria,F,Female,F02,Arts and humanities,_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,16559.857,,
AUT,Austria,F,Female,F02,Arts and humanities,_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,7984.504,,
AUT,Austria,M,Male,F02,Arts and humanities,_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,4771.352,,
AUT,Austria,F,Female,F02,Arts and humanities,MOB,Mobile including homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,2345.994,,
AUT,Austria,F,Female,F02,Arts and humanities,MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,164.333,,
AUT,Austria,F,Female,F02,Arts and humanities,_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,1727.758,,
AUT,Austria,F,Female,F02,Arts and humanities,MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,726.117,,
AUT,Austria,M,Male,F02,Arts and humanities,MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,543.744,,
AUT,Austria,F,Female,F03,"Social sciences, journalism and information",_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,825.602,,
AUT,Austria,F,Female,F03,"Social sciences, journalism and information",MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,79.893,,
AUT,Austria,M,Male,F03,"Social sciences, journalism and information",MOB,Mobile including homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,26.917,,
AUT,Austria,F,Female,F03,"Social sciences, journalism and information",MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,10.833,,
AUT,Austria,F,Female,F03,"Social sciences, journalism and information",MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,3860.001,,
AUT,Austria,F,Female,F03,"Social sciences, journalism and information",MOB_HOME,Homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,156.2,,
AUT,Austria,F,Female,F03,"Social sciences, journalism and information",_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,9034.859,,
AUT,Austria,M,Male,F03,"Social sciences, journalism and information",_T,Total,ISCED11_7,Master’s or equivalent level,2019,2019,4225.169,,
AUT,Austria,F,Female,F03,"Social sciences, journalism and information",MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,209.367,,
AUT,Austria,M,Male,F03,"Social sciences, journalism and information",MOB_HOME,Homecoming nationals,ISCED11_7,Master’s or equivalent level,2019,2019,105.478,,
AUT,Austria,F,Female,F03,"Social sciences, journalism and information",_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,889.533,,
AUT,Austria,M,Male,F03,"Social sciences, journalism and information",_T,Total,ISCED11_8,Doctoral or equivalent level,2019,2019,653.738,,
AUT,Austria,F,Female,F03,"Social sciences, journalism and information",MOB,Mobile including homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,338.85,,
AUT,Austria,F,Female,F03,"Social sciences, journalism and information",MOB_HOME,Homecoming nationals,ISCED11_8,Doctoral or equivalent level,2019,2019,41,,
AUT,Austria,F,Female,F04,"Business, administration and law",_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,10311.643,,
AUT,Austria,M,Male,F04,"Business, administration and law",_T,Total,ISCED11_5,Short-cycle tertiary education,2019,2019,7190.667,,
AUT,Austria,M,Male,F04,"Business, administration and law",MOB_HOME,Homecoming nationals,ISCED11_5,Short-cycle tertiary education,2019,2019,37.5,,
AUT,Austria,F,Female,F04,"Business, administration and law",_T,Total,ISCED11_6,Bachelor’s or equivalent level,2019,2019,19164.517,,
AUT,Austria,F,Female,F04,"Business, administration and law",MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,3220.603,,
AUT,Austria,M,Male,F04,"Business, administration and law",MOB,Mobile including homecoming nationals,ISCED11_6,Bachelor’s or equivalent level,2019,2019,3027.255,,
