"Country","Indicator","Sex","Age Group","Time","Unit","PowerCode","Reference Period","Value","Flags"
"New Zealand","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.2,
"Norway","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,4.6,
"Norway","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,3.7,
"Poland","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,4.9,
"Poland","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,4.9,
"Portugal","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,8.4,
"Portugal","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,9.3,
"Slovak Republic","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,7.9,
"Slovak Republic","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,8.4,
"Spain","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,15.7,
"Spain","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,19,
"Sweden","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,6.9,
"Sweden","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,6.4,
"Switzerland","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,4.6,
"Switzerland","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.1,
"Turkey","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,9.4,
"Turkey","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,14.1,
"United Kingdom","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,4.5,
"United Kingdom","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,4.2,
"United States","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,4.4,
"United States","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,4.3,
"Brazil","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,10.8,
"Brazil","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,14.5,
"Chile","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,6.3,
"Chile","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,7.2,
"Colombia","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,7.2,
"Colombia","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,12.3,
"Costa Rica","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,7.5,
"Costa Rica","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,11.6,
"Estonia","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,6.2,
"Estonia","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.3,
"Indonesia","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,5.4,
"Indonesia","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.4,
"Israel","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,4.1,
"Israel","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,4.3,
"Latvia","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,9.8,
"Latvia","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,7.7,
"Lithuania","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,8.5,
"Lithuania","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5.7,
"Russia","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,5.4,
"Russia","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,5,
"Slovenia","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,5.8,
"Slovenia","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,7.5,
"South Africa","Unemployment rate, by sex and age group","Men","Total","2017","Percentage","Units",,25.5,
"South Africa","Unemployment rate, by sex and age group","Women","Total","2017","Percentage","Units",,29.4,
"Australia","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,13.6,
"Australia","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,11.5,
"Austria","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,10.8,
"Austria","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,8.7,
"Belgium","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,20.2,
"Belgium","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,18,
"Canada","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,13.1,
"Canada","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,9.7,
"Czech Republic","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,7.4,
"Czech Republic","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,8.7,
"Denmark","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,12.9,
"Denmark","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,11.9,
"Finland","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,19,
"Finland","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,19.3,
"France","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,23.2,
"France","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,21.2,
"Germany","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,7.6,
"Germany","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,5.8,
"Greece","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,39.3,
"Greece","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,48.2,
"Hungary","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,9.7,
"Hungary","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,12.1,
"Iceland","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,10.2,
"Iceland","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,8.2,
"Ireland","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,16.1,
"Ireland","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,12.6,
"Italy","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,33,
"Italy","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,37.3,
"Japan","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,4.7,
"Japan","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,4.5,
"Korea","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,11.2,
"Korea","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,9.7,
"Luxembourg","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,17.2,
"Luxembourg","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,13.2,
"Mexico","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,6.3,
"Mexico","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,8,
"Netherlands","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,9,
"Netherlands","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,8.8,
"New Zealand","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,12.6,
"New Zealand","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,13.3,
"Norway","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,11.7,
"Norway","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,9,
"Poland","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,14.6,
"Poland","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,15.1,
"Portugal","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,22.4,
"Portugal","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,25.5,
"Slovak Republic","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,18.1,
"Slovak Republic","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,20.2,
"Spain","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,39.5,
"Spain","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,37.4,
"Sweden","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,18.7,
"Sweden","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,16.8,
"Switzerland","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,8.1,
"Switzerland","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,8,
"Turkey","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,17.8,
"Turkey","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,26.1,
"United Kingdom","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,13.4,
"United Kingdom","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,10.7,
"United States","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,10.3,
"United States","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,8.1,
"Brazil","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,24.4,
"Brazil","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,32.6,
"Chile","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,15.7,
"Chile","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,18.5,
"Colombia","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,14.3,
"Colombia","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,24.3,
"Costa Rica","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,19,
"Costa Rica","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,28.7,
"Estonia","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,12.9,
"Estonia","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,10,
"Indonesia","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,17.7,
"Indonesia","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,17.8,
"Israel","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,6.7,
"Israel","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,7.8,
"Latvia","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,18.3,
"Latvia","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,15.4,
"Lithuania","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,14.6,
"Lithuania","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,11.7,
"Russia","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,15.6,
"Russia","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,16.8,
"Slovenia","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,9.9,
"Slovenia","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,13,
"South Africa","Unemployment rate, by sex and age group","Men","15-24","2017","Percentage","Units",,49.2,
"South Africa","Unemployment rate, by sex and age group","Women","15-24","2017","Percentage","Units",,58.5,
"Australia","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,5.7,
"Australia","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5.8,
"Austria","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,6,
"Austria","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5.1,
"Belgium","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,7.2,
"Belgium","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,7.1,
"Canada","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,6.9,
"Canada","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,6,
"Czech Republic","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,2.4,
"Czech Republic","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,3.6,
"Denmark","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,5.7,
"Denmark","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,6.1,
"Finland","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,9,
"Finland","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,8.5,
"France","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,9.5,
"France","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,9.4,
"Germany","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,4.2,
"Germany","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,3.4,
"Greece","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,17.9,
"Greece","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,26.3,
"Hungary","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,3.8,
"Hungary","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,4.6,
"Iceland","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,3.6,
"Iceland","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,3.3,
"Ireland","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,7.3,
"Ireland","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,6.1,
"Italy","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,10.6,
"Italy","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,12.5,
"Japan","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,3,
"Japan","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,2.8,
"Korea","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,3.9,
"Korea","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,3.6,
"Luxembourg","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,5.6,
"Luxembourg","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5.5,
"Mexico","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,3.5,
"Mexico","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,3.7,
"Netherlands","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,4.5,
"Netherlands","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5.3,
"New Zealand","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,4.5,
"New Zealand","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5.4,
"Norway","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,4.7,
"Norway","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,3.8,
"Poland","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,5,
"Poland","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5,
"Portugal","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,8.8,
"Portugal","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,9.6,
"Slovak Republic","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,8,
"Slovak Republic","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,8.5,
"Spain","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,15.8,
"Spain","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,19.1,
"Sweden","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,7.1,
"Sweden","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,6.5,
"Switzerland","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,4.8,
"Switzerland","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5.2,
"Turkey","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,9.6,
"Turkey","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,14.4,
"United Kingdom","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,4.6,
"United Kingdom","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,4.3,
"United States","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,4.5,
"United States","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,4.3,
"Brazil","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,11.1,
"Brazil","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,14.8,
"Chile","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,6.6,
"Chile","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,7.5,
"Colombia","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,7.4,
"Colombia","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,12.7,
"Costa Rica","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,7.7,
"Costa Rica","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,11.8,
"Estonia","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,6.3,
"Estonia","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5.5,
"Indonesia","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,5.7,
"Indonesia","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5.5,
"Israel","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,4.2,
"Israel","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,4.4,
"Latvia","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,9.9,
"Latvia","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,7.9,
"Lithuania","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,8.8,
"Lithuania","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5.9,
"Russia","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,5.4,
"Russia","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,5.1,
"Slovenia","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,5.9,
"Slovenia","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,7.6,
"South Africa","Unemployment rate, by sex and age group","Men","15-64","2017","Percentage","Units",,25.7,
"South Africa","Unemployment rate, by sex and age group","Women","15-64","2017","Percentage","Units",,29.6,
"Australia","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,4.1,
"Australia","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,4.8,
"Austria","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,5.5,
"Austria","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,4.7,
"Belgium","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,6.3,
"Belgium","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,6.2,
"Canada","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,5.7,
"Canada","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,5.3,
"Czech Republic","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,2,
"Czech Republic","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,3.4,
"Denmark","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,4.8,
"Denmark","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,5.5,
"Finland","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,7.3,
"Finland","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,6.9,
"France","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,8.2,
"France","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,8.8,
"Germany","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,3.9,
"Germany","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,3.1,
"Greece","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,16.7,
"Greece","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,25.6,
"Hungary","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,3.4,
"Hungary","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,4,
"Iceland","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,2.2,
"Iceland","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,2.3,
"Ireland","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,6.2,
"Ireland","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,5.3,
"Italy","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,9.7,
"Italy","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,12.3,
"Japan","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,2.9,
"Japan","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,2.8,
"Korea","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,3.6,
"Korea","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,3.3,
"Luxembourg","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,4.8,
"Luxembourg","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,5,
"Mexico","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,2.8,
"Mexico","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,3.1,
"Netherlands","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,3.2,
"Netherlands","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,4.2,
"New Zealand","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,2.9,
"New Zealand","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,4.3,
"Norway","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,4,
"Norway","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,3.4,
"Poland","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,4.1,
"Poland","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,4.4,
"Portugal","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,7.3,
"Portugal","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,8.5,
"Slovak Republic","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,7.3,
"Slovak Republic","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,8,
"Spain","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,13.9,
"Spain","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,18.2,
"Sweden","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,5.5,
"Sweden","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,5.2,
"Switzerland","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,4.3,
"Switzerland","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,5.1,
"Turkey","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,8.1,
"Turkey","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,12.5,
"United Kingdom","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,3.1,
"United Kingdom","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,3.3,
"United States","Unemployment rate, by sex and age group","Men","25-54","2017","Percentage","Units",,3.6,
"United States","Unemployment rate, by sex and age group","Women","25-54","2017","Percentage","Units",,3.9,
